BRUTO Чипсы G.L.из нат.карт.вк.ол/ор.80г;80
BRUTO Чипсы G.L.нат.кар.вк/ар.к.соли 80г;80
BRUTO Чипсы из нат.карт.вк.см/лука 120г;120
BRUTO Чипсы из нат.карт.вк.смет/зел.120г;120
BRUTO Чипсы из нат.карт.вкус.папр.120г;120
BRUTO Чипсы из нат.карт.со вк.краба 120г;120
BRUTO Чипсы из карт.мор.сол/чер.пер.130г;130
BRUTO Чипсы из нат.карт.вк.Чесн/тр.120г;120
EASY PEASY Картофель риф.вк.бр.майон.50г;50
LAYS Чипсы нат.карт.риф.вк.лобстера 70г;70
LAYS Чипсы риф.вкус.Паприка нат.карт.70г;70
BRUTO Чипсы из нат.карт.с мор.солью 120г;120
BRUTO Чипсы из нат.карт.с томат/укр.120г;120
BRUTO Чипсы нат.карт.мор.с/чер.пер.120г;120
BON GIOR.Чип.кар.риф.вкус.Кар.Лук Сыр80г;80
BON GIOR.Чипсы карт.риф.вкус.Ср.Лоб.80г;80
